OTU	ID	Superkingdom	Kingdom	Phylum	Subphylum	Superclass	Class	Infraclass	Subclass	Superorder	Order	Order_number	Suborder	Superfamily	Family	Subfamily	Count
4134|NZAC03011631|Plot-5|Subplot_B|Pitfall-Trap|Salpingidae	4134|NZAC03011631|Plot-5|Subplot_B|Pitfall-Trap|Salpingidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Salpingidae	NA	153
3856|NZAC03011185|Plot-2|Subplot_C|Leaf-Litter|Lepidoptera	3856|NZAC03011185|Plot-2|Subplot_C|Leaf-Litter|Lepidoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	Amphiesmenoptera	Lepidoptera	az_Lepidoptera	NA	NA	NA	NA	69
4206|NZAC03013461|Plot-2|Subplot_E|Pitfall-Trap|Formicidae	4206|NZAC03013461|Plot-2|Subplot_E|Pitfall-Trap|Formicidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Hymenoptera	bc_Hymenoptera	Aculeata	NA	Formicidae	NA	60
3782|NZAC03009013|Plot-LB1|Subplot_C|Pitfall-Trap|Formicidae	3782|NZAC03009013|Plot-LB1|Subplot_C|Pitfall-Trap|Formicidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Hymenoptera	bc_Hymenoptera	Aculeata	NA	Formicidae	NA	59
3591|NZAC03011949|Plot-5|Subplot_I|Leaf-Litter|Polydesmida	3591|NZAC03011949|Plot-5|Subplot_I|Leaf-Litter|Polydesmida	Eukaryota	Metazoa	Arthropoda	Myriapoda	NA	Diplopoda	NA	Helminthomorpha	NA	Polydesmida	an_Polydesmida	NA	NA	NA	NA	54
3823|NZAC03010842|Plot-1|Subplot_L|Pitfall-Trap|Orthoptera	3823|NZAC03010842|Plot-1|Subplot_L|Pitfall-Trap|Orthoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Orthopteroidea	Neoptera	NA	Orthoptera	bg_Orthoptera	Ensifera <crickets>	NA	Tettigoniidae	NA	41
4258|NZAC03006380|Plot-CM30c30|Subplot_N|Pitfall-Trap|Curculionidae	4258|NZAC03006380|Plot-CM30c30|Subplot_N|Pitfall-Trap|Curculionidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Curculionidae	NA	25
3962|NZAC03011813|Plot-4|Subplot_A|Pitfall-Trap|Eupulmonata	3962|NZAC03011813|Plot-4|Subplot_A|Pitfall-Trap|Eupulmonata	Eukaryota	Metazoa	Mollusca	NA	NA	Gastropoda	NA	NA	NA	Gastropoda	bm_Gastropoda	NA	NA	NA	NA	23
3909|NZAC03011325|Plot-2|Subplot_C|Leaf-Litter|Ptiliidae	3909|NZAC03011325|Plot-2|Subplot_C|Leaf-Litter|Ptiliidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Ptiliidae	NA	22
3912|NZAC03011359|Plot-2|Subplot_C|Leaf-Litter|Staphylinidae	3912|NZAC03011359|Plot-2|Subplot_C|Leaf-Litter|Staphylinidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Staphylinidae	Pselaphinae	21
