OTU	Plot-5_Pitfall-Trap	Plot-2_Pitfall-Trap	Plot-10_Pitfall-Trap	Plot-2_Leaf-Litter	Plot-10_Leaf-Litter	Plot-4_Leaf-Litter	Plot-6_Pitfall-Trap	Plot-1_Pitfall-Trap	Plot-9_Leaf-Litter	Plot-5_Leaf-Litter	Plot-7_Leaf-Litter	Plot-9_Pitfall-Trap	Plot-3_Leaf-Litter	Plot-8_Leaf-Litter	Plot-4_Pitfall-Trap	Plot-6_Leaf-Litter	Plot-1_Leaf-Litter	Plot-3_Pitfall-Trap
4134|NZAC03011631|Plot-5|Subplot_B|Pitfall-Trap|Salpingidae	48	30	0	0	0	0	35	1	0	1	0	1	0	1	22	0	0	14
4206|NZAC03013461|Plot-2|Subplot_E|Pitfall-Trap|Formicidae	0	7	1	2	0	0	41	0	3	1	0	1	3	0	0	0	1	0
3782|NZAC03009013|Plot-LB1|Subplot_C|Pitfall-Trap|Formicidae	8	3	11	0	0	0	0	0	0	0	1	18	0	0	14	0	0	4
3909|NZAC03011325|Plot-2|Subplot_C|Leaf-Litter|Ptiliidae	0	0	0	1	0	3	0	1	1	1	0	0	0	0	0	0	15	0
3856|NZAC03011185|Plot-2|Subplot_C|Leaf-Litter|Lepidoptera	1	0	0	9	3	7	1	0	3	8	3	0	3	4	3	11	12	1
3912|NZAC03011359|Plot-2|Subplot_C|Leaf-Litter|Staphylinidae	0	0	0	6	1	0	0	0	1	0	0	0	1	12	0	0	0	0
4092|NZAC03014425|Plot-LB1|Subplot_E|Leaf-Litter|Coleoptera	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0
3535|NZAC03012319|Plot-4|Subplot_A|Leaf-Litter|Coleoptera	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0
4307|NZAC03011644|Plot-6|Subplot_B|Pitfall-Trap|Coleoptera	1	0	0	2	0	0	10	0	0	0	0	0	0	0	3	0	0	4
3823|NZAC03010842|Plot-1|Subplot_L|Pitfall-Trap|Orthoptera	8	2	9	0	0	0	3	12	0	0	0	2	1	0	0	0	0	4
