ID	Superkingdom	Kingdom	Phylum	Subphylum	Superclass	Class	Infraclass	Subclass	Superorder	Order	Order_number	Suborder	Superfamily	Family	Count
513|NZAC03010470|Plot-6|Subplot-E|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Salpingidae	140
459|NZAC03010438|Plot-6|Subplot-A|Pitfall-Trap|Formicidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Hymenoptera	bc_Hymenoptera	Aculeata	NA	Formicidae	71
538|NZAC03010682|Plot-CM30c30|Subplot-M|Pitfall-Trap|Formicidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Hymenoptera	bc_Hymenoptera	Aculeata	NA	Formicidae	56
575|NZAC03010692|Plot-CM30c30|Subplot-M|Pitfall-Trap|Amphipoda	Eukaryota	Metazoa	Arthropoda	Crustacea	NA	Malacostraca	NA	Eumalacostraca	Peracarida	Amphipoda	ar_Amphipoda	NA	NA	NA	44
2272|NZAC03014276|Plot-CM30c30|Subplot-L|Leaf-Litter|Amphipoda	Eukaryota	Metazoa	Arthropoda	Crustacea	NA	Malacostraca	NA	Eumalacostraca	Peracarida	Amphipoda	ar_Amphipoda	NA	NA	NA	36
2346|NZAC03014004|Plot-LB1|Subplot-E|Leaf-Litter|Lepidoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	Amphiesmenoptera	Lepidoptera	az_Lepidoptera	NA	NA	NA	33
238|NZAC03010506|Plot-4|Subplot-H|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Staphylinidae	28
3730|NZAC03012669|Plot-5|Subplot-I|Leaf-Litter|Endopterygota	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Ptiliidae	25
2037|NZAC03012089|Plot-6|Subplot-I|Leaf-Litter|Mandibulata	Eukaryota	Metazoa	Arthropoda	Myriapoda	NA	Myriapoda	NA	NA	NA	Myriapoda	ag_Myriapoda	NA	NA	NA	25
2301|NZAC03014331|Plot-LB1|Subplot-E|Leaf-Litter|Curculionidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Curculionidae	25
690|NZAC03009100|Plot-LB1|Subplot-O|Pitfall-Trap|Amphipoda	Eukaryota	Metazoa	Arthropoda	Crustacea	NA	Malacostraca	NA	Eumalacostraca	Peracarida	Amphipoda	ar_Amphipoda	NA	NA	NA	24
164|NZAC03013454|Plot-3|Subplot-H|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Salpingidae	23
264|NZAC03011597|Plot-4|Subplot-P|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	NA	NA	NA	22
3713|NZAC03012093|Plot-5|Subplot-I|Leaf-Litter|Lepidoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	Amphiesmenoptera	Lepidoptera	az_Lepidoptera	NA	NA	NA	21
670|NZAC03009267|Plot-LB1|Subplot-L|Pitfall-Trap|Formicidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Hymenoptera	bc_Hymenoptera	Aculeata	NA	Formicidae	21
2024|NZAC03012405|Plot-4|Subplot-A|Leaf-Litter|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Ptiliidae	19
1357|NZAC03010634|Plot-6|Subplot-E|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Salpingidae	18
254|NZAC03011431|Plot-4|Subplot-P|Pitfall-Trap|Curculionidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Curculionidae	18
1359|NZAC03009256|Plot-LB1|Subplot-L|Pitfall-Trap|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Curculionidae	18
2224|NZAC03014197|Plot-CM30c30|Subplot-L|Leaf-Litter|Curculionidae	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Curculionidae	18
2308|NZAC03014314|Plot-LB1|Subplot-E|Leaf-Litter|Coleoptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Endopterygota	Neoptera	NA	Coleoptera	ba_Coleoptera	Polyphaga <Coleoptera>	NA	Ptiliidae	17
3303|NZAC03012861|Plot-3|Subplot-N|Leaf-Litter|Hemiptera	Eukaryota	Metazoa	Arthropoda	NA	Hexapoda	Insecta	Paraneoptera	Neoptera	NA	Hemiptera	bi_Hemiptera	NA	NA	NA	16
3272|NZAC03011326|Plot-2|Subplot-C|Leaf-Litter|Pseudoscorpiones	Eukaryota	Metazoa	Arthropoda	Chelicerata	NA	Arachnida	NA	NA	NA	Pseudoscorpiones	af_Pseudoscorpiones	NA	NA	NA	16
