NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03012192	Plot_4	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012281	Plot_4	Leaf-Litter	Ptiliidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012300	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012201	Plot_4	Leaf-Litter	Diplura	class	28S only	Arthropoda	Diplura	(Diplura)
NZAC03012269	Plot_4	Leaf-Litter	Cicadellidae	family	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012272	Plot_4	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03012363	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012391	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012381	Plot_4	Leaf-Litter	Siphonaptera	order	28S only	Arthropoda	Insecta	Siphonaptera
NZAC03012395	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012421	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012387	Plot_4	Leaf-Litter	Aphidoidea	superfamily	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012372	Plot_4	Leaf-Litter	Diplura	class	28S only	Arthropoda	Diplura	(Diplura)
NZAC03012427	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012446	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012038	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012841	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012002	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012544	Plot_5	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011708	Plot_6	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03012068	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011947	Plot_5	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03010940	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012966	Plot_6	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012970	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013159	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012136	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011294	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03010935	Plot_6	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03009299	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009028	Plot_7	Leaf-Litter	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010151	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03009048	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010331	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009049	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009315	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010169	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010192	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010319	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009050	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010144	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010159	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010179	Plot_7	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010195	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009032	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009324	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010160	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010214	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009037	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009273	Plot_7	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03009329	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010200	Plot_7	Leaf-Litter	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010356	Plot_7	Leaf-Litter	Thysanoptera	order	28S only	Arthropoda	Insecta	Thysanoptera
NZAC03010344	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010372	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010364	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011060	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011067	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010259	Plot_1	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011079	Plot_8	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010260	Plot_1	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011380	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012177	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013002	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013294	Plot_8	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03013398	Plot_8	Leaf-Litter	Pseudoscorpiones	order	28S only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03013349	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012339	Plot_8	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013353	Plot_8	Leaf-Litter	Pselaphinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013269	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
