Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03006214	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006217	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Diptera	Diptera
NZAC03006218	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006283	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006285	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006286	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03006288	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006289	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006294	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006297	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006300	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI		Orthoptera
NZAC03006303	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03006316	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03006322	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006325	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006328	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006329	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006331	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03006334	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03006337	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03006347	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006350	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006352	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006353	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006355	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03006356	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03006359	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI		Araneae
NZAC03006361	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03006362	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03006365	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI		Araneae
NZAC03006366	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03006367	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03006368	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Insecta	Both	28S	COI	Diptera	Diptera
NZAC03006371	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03006374	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
