Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03006217	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Empty vial	Diptera	Diptera
NZAC03006285	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03006303	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03006316	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03006328	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03006329	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03006331	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03006352	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03006355	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03006359	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03006366	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03006374	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03006404	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03009005	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009007	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009008	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009010	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Arachnida	0	(Arachnida)
NZAC03009011	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009012	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009014	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009017	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009027	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03009039	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009042	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009047	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03009052	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03009054	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diplopoda	0	(Diplopoda)
NZAC03009056	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009057	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009060	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009077	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009081	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009082	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009084	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009090	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009093	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009094	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009095	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03009101	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009104	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009106	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009109	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009110	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009111	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009112	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009114	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009116	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009118	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03009123	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03009124	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009129	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Arthropoda	(Endopterygota)	(Endopterygota)
NZAC03009134	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009135	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03009136	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009138	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009140	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009142	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009146	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009153	28S	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009156	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03009158	Both	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03009161	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009165	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	0	Orthoptera
NZAC03009166	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009167	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03009170	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03009172	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009173	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009175	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Isopoda	Isopoda	Isopoda
NZAC03009188	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009194	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009196	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009197	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009201	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009202	28S	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009215	Both	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009225	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03009226	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009227	28S	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03009229	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009234	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Insecta	Diptera	Diptera
NZAC03009235	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009237	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009238	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
