OTU	Plot-6_Pitfall-Trap	Plot-9_Pitfall-Trap	Plot-10_Leaf-Litter	Plot-6_Leaf-Litter	Plot-4_Leaf-Litter	Plot-10_Pitfall-Trap	Plot-4_Pitfall-Trap	Plot-2_Leaf-Litter	Plot-5_Leaf-Litter	Plot-3_Pitfall-Trap	Plot-9_Leaf-Litter	Plot-5_Pitfall-Trap	Plot-1_Pitfall-Trap	Plot-8_Leaf-Litter	Plot-2_Pitfall-Trap	Plot-3_Leaf-Litter	Plot-7_Leaf-Litter	Plot-1_Leaf-Litter
513|NZAC03010470|Plot-6|Subplot-E|Pitfall-Trap|Coleoptera	27	1	0	0	0	0	14	0	1	17	0	45	3	0	32	0	0	0
459|NZAC03010438|Plot-6|Subplot-A|Pitfall-Trap|Formicidae	44	2	0	1	0	4	1	2	2	0	4	0	1	0	7	3	0	0
538|NZAC03010682|Plot-CM30c30|Subplot-M|Pitfall-Trap|Formicidae	0	22	1	0	0	15	7	0	0	3	0	5	0	0	3	0	0	0
2346|NZAC03014004|Plot-LB1|Subplot-E|Leaf-Litter|Lepidoptera	0	0	2	4	4	0	0	5	10	2	0	0	0	0	0	1	2	3
2037|NZAC03012089|Plot-6|Subplot-I|Leaf-Litter|Mandibulata	0	0	0	15	0	0	0	6	0	0	0	0	0	0	0	4	0	0
2024|NZAC03012405|Plot-4|Subplot-A|Leaf-Litter|Coleoptera	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	0
575|NZAC03010692|Plot-CM30c30|Subplot-M|Pitfall-Trap|Amphipoda	9	9	1	1	0	6	1	1	0	3	8	0	0	0	4	1	0	0
670|NZAC03009267|Plot-LB1|Subplot-L|Pitfall-Trap|Formicidae	0	1	0	0	0	11	7	0	0	1	0	0	0	0	1	0	0	0
238|NZAC03010506|Plot-4|Subplot-H|Pitfall-Trap|Coleoptera	6	1	0	0	0	4	4	0	0	2	0	8	0	0	3	0	0	0
2308|NZAC03014314|Plot-LB1|Subplot-E|Leaf-Litter|Coleoptera	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279|NZAC03011648|Plot-4|Subplot-P|Pitfall-Trap|Formicidae	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0
3272|NZAC03011326|Plot-2|Subplot-C|Leaf-Litter|Pseudoscorpiones	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	2	0	0
264|NZAC03011597|Plot-4|Subplot-P|Pitfall-Trap|Coleoptera	13	0	0	0	0	0	2	0	0	5	0	1	0	0	1	0	0	0
3713|NZAC03012093|Plot-5|Subplot-I|Leaf-Litter|Lepidoptera	0	0	0	4	1	0	0	0	13	0	0	0	0	3	0	0	0	0
216|NZAC03010507|Plot-4|Subplot-H|Pitfall-Trap|Staphylinidae	3	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0
2116|NZAC03012127|Plot-6|Subplot-N|Leaf-Litter|Elateridae	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	1	1	1
148|NZAC03013650|Plot-3|Subplot-H|Pitfall-Trap|Diptera	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0
3738|NZAC03012796|Plot-5|Subplot-I|Leaf-Litter|Lepidoptera	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
2301|NZAC03014331|Plot-LB1|Subplot-E|Leaf-Litter|Curculionidae	0	8	8	1	0	0	0	0	0	0	2	0	0	6	0	0	0	0
2302|NZAC03014425|Plot-LB1|Subplot-E|Leaf-Litter|Coleoptera	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3295|NZAC03011313|Plot-2|Subplot-C|Leaf-Litter|Pselaphinae	0	0	0	0	0	0	0	8	1	0	0	0	0	6	0	1	0	0
2304|NZAC03014311|Plot-CM30c30|Subplot-L|Leaf-Litter|Coleoptera	1	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
160|NZAC03013511|Plot-3|Subplot-H|Pitfall-Trap|Tettigoniidae	0	0	0	0	0	0	0	0	0	3	0	4	0	0	3	1	0	0
3737|NZAC03012129|Plot-5|Subplot-I|Leaf-Litter|Hemiptera	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	2	0
636|NZAC03009257|Plot-LB1|Subplot-L|Pitfall-Trap|Coleoptera	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
3730|NZAC03012669|Plot-5|Subplot-I|Leaf-Litter|Endopterygota	0	0	0	2	4	0	0	2	8	0	0	0	0	0	0	0	0	9
706|NZAC03009261|Plot-LB1|Subplot-O|Pitfall-Trap|Orthoptera	3	1	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0
381|NZAC03011432|Plot-5|Subplot-B|Pitfall-Trap|Lepidoptera	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
2380|NZAC03014053|Plot-LB1|Subplot-E|Leaf-Litter|Lepidoptera	0	0	1	0	1	0	0	1	0	1	0	0	0	2	0	1	1	0
462|NZAC03010794|Plot-6|Subplot-A|Pitfall-Trap|Endopterygota	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358|NZAC03011666|Plot-5|Subplot-B|Pitfall-Trap|Araneae	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0
3689|NZAC03011939|Plot-5|Subplot-I|Leaf-Litter|Polydesmida	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1946|NZAC03012211|Plot-4|Subplot-A|Leaf-Litter|Pselaphinae	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3675|NZAC03012793|Plot-5|Subplot-I|Leaf-Litter|Lepidoptera	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1359|NZAC03009256|Plot-LB1|Subplot-L|Pitfall-Trap|Coleoptera	0	0	3	1	0	2	0	0	2	0	5	0	0	4	0	0	1	0
254|NZAC03011431|Plot-4|Subplot-P|Pitfall-Trap|Curculionidae	0	0	0	4	1	1	1	2	2	0	0	0	0	4	0	2	1	0
487|NZAC03010580|Plot-6|Subplot-E|Pitfall-Trap|Araneae	1	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0
2294|NZAC03014267|Plot-CM30c30|Subplot-L|Leaf-Litter|Coleoptera	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
