Plot_method	Plot	Method	Sample_ID	pH	EC	Organic.C	Total.N	C/N.ratio	NO3-N	NH4-N	Olsen.P	Lat	Long	Elevation
Plot-1_Leaf-Litter	Plot-A01	Leaf-Litter	M11/4620	5.65	0.143269	6.196535	0.365748	16.942102	2.388935	12.468518	53.217422	-36.225	175.07	42.690666
Plot-1_Pitfall-Trap	Plot-A01	Pitfall-Trap	M11/4621	6.13	0.154679	8.973518	0.494605	18.142797	11.64916	10.066012	44.085709	-36.225	175.07	42.690666
Plot-2_Leaf-Litter	Plot-B02	Leaf-Litter	M11/4622	5.29	0.055083	2.894013	0.174764	16.559579	0.6411	2.199853	1.480183	-36.218	175.07	106.421158
Plot-2_Pitfall-Trap	Plot-B02	Pitfall-Trap	M11/4623	4.95	0.101092	5.058117	0.297397	17.007983	0.588388	2.112703	1.971634	-36.218	175.07	106.421158
Plot-3_Leaf-Litter	Plot-C03	Leaf-Litter	M11/4624	5.69	0.085211	4.92686	0.218789	22.518762	0.500503	1.55807	1.836926	-36.217	175.074	154.209457
Plot-3_Pitfall-Trap	Plot-C03	Pitfall-Trap	M11/4625	5.23	0.168585	12.954148	0.569194	22.758746	0.512171	4.237148	3.84787	-36.217	175.074	154.209457
Plot-4_Leaf-Litter	Plot-D04	Leaf-Litter	M11/4626	6.49	0.652851	43.444816	1.983423	21.903955	1.37825	13.427585	39.63485	-36.213	175.075	268.955566
Plot-4_Pitfall-Trap	Plot-D04	Pitfall-Trap	M11/4627	5.34	0.447135	17.861498	0.569614	31.357196	0.587015	6.399489	18.6367	-36.213	175.075	268.955566
Plot-5_Leaf-Litter	Plot-E05	Leaf-Litter	M11/4628	5.25	0.206862	10.38639	0.542666	19.139579	0.636368	5.719799	6.900049	-36.215	175.075	264.264893
Plot-5_Pitfall-Trap	Plot-E05	Pitfall-Trap	M11/4629	5.84	0.107253	7.983237	0.327921	24.344978	0.51613	3.318751	3.876549	-36.215	175.075	264.264893
Plot-6_Leaf-Litter	Plot-F06	Leaf-Litter	M11/4630	5.59	0.122291	6.52144	0.387467	16.830949	1.595283	4.999191	7.771931	-36.214	175.076	304.957855
Plot-6_Pitfall-Trap	Plot-F06	Pitfall-Trap	M11/4631	5.63	0.121254	6.258581	0.380663	16.441272	2.838841	3.88317	9.690904	-36.214	175.076	304.957855
Plot-7_Leaf-Litter	Plot-G07	Leaf-Litter	M11/4632	5.62	0.071143	4.254723	0.296467	14.351435	3.140506	1.488896	3.373834	-36.212	175.079	399.678406
Plot-8_Leaf-Litter	Plot-H08	Leaf-Litter	M11/4634	4.52	0.506712	50.721495	1.881142	26.963136	0.835111	9.535769	34.089512	-36.21	175.079	438.034729
Plot-9_Leaf-Litter	Plot-I09	Leaf-Litter	M11/4636	3.94	0.318159	49.888909	2.019839	24.699454	6.928733	26.946914	23.692817	-36.202	175.071	569.904358
Plot-9_Pitfall-Trap	Plot-I09	Pitfall-Trap	M11/4637	4.45	0.299564	34.013717	1.523348	22.328272	26.755816	10.735058	7.893209	-36.202	175.071	569.904358
Plot-10_Leaf-Litter	Plot-J10	Leaf-Litter	M11/4638	4.28	0.281093	41.9	1.696667	24.695481	2.40548	8.260876	7.74	-36.199	175.076	642.476074
Plot-10_Pitfall-Trap	Plot-J10	Pitfall-Trap	M11/4639	4.72	0.292314	35.876099	1.941753	18.476136	45.867768	4.211094	2.306879	-36.199	175.076	642.476074


