OTU	Path	Phylum	Class	Order
SRR1706104.4806	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;	Annelida		
SRR1706069.2267	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;	Annelida		
SRR1706129.4549	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;Lumbricina;Acanthodrilidae;Deinodrilus;Deinodrilus gorgon;	Annelida		
SRR1706059.2206	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;	Annelida		
SRR1706034.3854	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;Tubificina;Enchytraeidae;	Annelida		
SRR1706039.8059	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Polychaeta;Palpata;Canalipalpata;Sabellida;Serpulidae;Serpula <polychaete>;Serpula vermicularis;	Annelida		
SRR1706044.2712	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;Tubificina;Enchytraeidae;	Annelida		
SRR1706094.1348	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Clitellata;Oligochaeta;Haplotaxida;	Annelida		
SRR1706094.2073	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;Polychaeta;Palpata;Canalipalpata;Sabellida;Serpulidae;Crucigera;Crucigera zygophora;	Annelida		
SRR1706104.5683	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Lophotrochozoa;Annelida;	Annelida		
