	Plot1	Plot2	Plot3	Plot4	Plot5	Plot6	Plot7	Plot8	Plot9	Plot10
SRR1706104.4806	0	0	0	0	0	0	1054	200	0	0
SRR1706069.2267	0	16	0	69	209	0	0	0	0	0
SRR1706129.4549	0	0	0	0	0	0	0	0	0	133
SRR1706059.2206	0	6	121	0	0	0	0	0	0	0
SRR1706034.3854	216	0	0	0	0	0	0	0	0	0
SRR1706039.8059	75	0	0	0	0	0	0	1	0	0
SRR1706044.2712	0	70	0	0	0	0	0	0	0	0
SRR1706094.1348	0	0	0	0	0	0	63	0	0	0
SRR1706094.2073	0	0	0	0	4	0	35	21	0	6
SRR1706104.5683	0	0	0	0	0	0	0	43	0	0
SRR1706064.3008	0	0	0	32	4	0	0	0	0	0
SRR1706089.1112	0	4	7	0	0	13	0	0	0	0
SRR1706119.3892	0	0	0	0	0	0	0	3	15	0
SRR1706114.317	0	0	0	0	0	0	0	0	18	0
SRR1706084.4070	0	5	0	7	10	17	0	2	0	0
SRR1706064.986	0	0	0	22	0	0	0	0	0	0
SRR1706074.929	0	0	0	0	12	0	0	3	0	0
SRR1706119.1500	0	0	0	0	0	0	0	0	12	0
SRR1706104.314	0	0	0	0	0	0	0	29	0	0
SRR1706034.5221	10	0	0	0	0	0	0	0	0	0
SRR1706079.4223	0	0	1	0	26	0	0	0	0	0
SRR1706034.5394	16	0	0	0	0	0	0	0	0	0
SRR1706114.2499	0	0	0	0	0	0	0	0	8	6
SRR1706119.5628	0	0	0	0	0	0	0	0	10	0
SRR1706119.1695	0	0	0	0	0	0	0	0	7	0
SRR1706039.2292	9	0	0	0	0	0	0	0	0	0
SRR1706104.5321	0	0	0	0	0	0	0	16	0	0
SRR1706034.1568	13	0	0	0	0	0	0	0	0	0
SRR1706099.2788	0	0	0	0	0	0	9	0	0	0
SRR1706129.1342	0	0	0	0	0	0	0	0	0	9
SRR1706114.416	0	0	0	0	0	0	0	0	8	0
SRR1706044.1490	0	11	0	0	0	0	0	0	0	0
SRR1706064.3957	0	0	0	8	0	0	0	0	0	0
SRR1706074.2599	0	0	1	0	24	0	0	0	0	0
SRR1706044.929	0	9	0	0	0	0	0	0	0	0
SRR1706064.2502	0	0	0	10	0	0	0	0	0	0
SRR1706104.4790	0	3	0	0	2	0	0	8	0	1
SRR1706034.2087	10	0	0	0	0	0	0	0	0	0
SRR1706034.4804	5	0	0	0	0	0	0	0	0	0
SRR1706064.3089	0	0	0	4	0	0	0	0	0	0
SRR1706034.851	23	0	0	0	0	0	0	0	0	0
SRR1706039.7161	6	0	0	0	0	0	0	0	0	0
SRR1706129.3161	0	0	0	0	0	0	0	0	0	6
SRR1706124.3100	0	0	0	0	0	1	0	0	0	3
SRR1706039.6749	3	0	0	0	0	0	0	0	0	0
SRR1706129.1356	0	0	0	0	0	0	0	0	0	4
SRR1706044.3221	0	4	0	0	0	0	0	0	0	0
SRR1706104.5523	0	0	0	0	0	0	0	3	0	0
SRR1706079.6121	0	0	1	0	1	0	3	0	0	0
SRR1706034.1527	9	0	0	0	0	0	0	0	0	0
SRR1706099.2685	0	0	0	0	0	0	3	0	0	0
SRR1706079.2335	0	0	0	0	4	0	0	0	0	0
SRR1706089.3725	0	0	0	0	0	6	0	0	0	0
SRR1706074.1639	0	0	0	0	3	0	0	0	0	0
SRR1706074.727	0	0	0	0	4	0	0	0	0	0
SRR1706069.2278	0	0	0	4	0	0	0	0	0	0
SRR1706049.7947	0	5	0	0	0	0	5	0	0	0
SRR1706044.3727	0	7	0	0	0	0	0	0	0	0
SRR1706069.368	0	0	0	3	0	0	0	0	0	0
SRR1706114.2656	0	0	0	0	0	0	0	0	2	0
SRR1706114.1776	0	0	0	0	0	0	0	0	2	0
SRR1706114.2700	0	0	0	0	0	0	0	0	2	0
SRR1706064.1724	0	0	0	2	0	0	0	0	0	0
SRR1706089.693	0	0	0	0	1	7	0	0	0	0
SRR1706074.4845	0	0	0	0	3	0	0	0	0	0
SRR1706064.4185	0	0	0	3	0	0	0	0	0	0
SRR1706049.5896	0	4	0	0	0	0	0	0	0	0
SRR1706054.867	0	0	6	0	0	0	0	0	0	0
SRR1706084.4539	0	0	0	0	0	3	0	0	0	0
SRR1706069.2229	0	0	0	5	0	0	0	0	0	0
SRR1706044.1987	0	2	0	0	0	0	0	0	0	0
SRR1706039.6120	4	0	0	0	0	0	0	0	0	0
SRR1706074.1994	0	0	0	0	1	0	0	0	0	0
SRR1706059.5060	0	0	2	0	0	0	0	0	0	0
SRR1706124.960	0	0	0	0	0	0	0	0	0	1
