Query ID	Gene	Count	Class	Order	Taxon	Agreed taxon	match ID	Identical matches %	Alignment length	Number mismatches	Number gap openings	Start of alignment in query	End of alignment in query	Start of alignment in match	End of alignment in match	Expect value	Bit score
4134|NZAC03011631|Plot-5_Pitfall-Trap|Subplot_B|Pitfall-Trap|Salpingidae	28S	153	Insecta	Coleoptera	Insecta	Salpingidae	gi|162072884|gb|EU164667.1|	91.44	794	61	7	1	789	274	1065	0	1083
4206|NZAC03013461|Plot-2_Pitfall-Trap|Subplot_E|Pitfall-Trap|Formicidae	28S	60	Insecta	Hymenoptera	Insecta	Formicidae	gi|87047463|gb|DQ353617.1|	95.76	826	24	8	1	816	359	1183	0	1321
3782|NZAC03009013|Plot-LB1_Pitfall-Trap|Subplot_C|Pitfall-Trap|Formicidae	28S	59	Insecta	Hymenoptera	Insecta	Formicidae	gi|87047459|gb|DQ353613.1|	99.4	838	3	1	1	838	358	1193	0	1519
3909|NZAC03011325|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Ptiliidae	28S	22	Insecta	Coleoptera	Insecta	Ptiliidae	gi|693464984|gb|KJ845034.1|	82.17	791	115	20	1	775	352	1132	0	656
3856|NZAC03011185|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Lepidoptera	28S	69	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	90.52	791	68	7	1	787	358	1145	0	1038
3912|NZAC03011359|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Staphylinidae	28S	21	Insecta	Coleoptera	Insecta	Pselaphinae	gi|693464985|gb|KJ845035.1|	88.97	789	70	16	1	782	352	1130	0	959
4092|NZAC03014425|Plot-LB1_Leaf-Litter|Subplot_E|Leaf-Litter|Coleoptera	28S	16	Insecta	Coleoptera	Insecta	Staphylinidae	gi|693465026|gb|KJ845076.1|	98.7	770	10	0	1	770	355	1124	0	1367
3535|NZAC03012319|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Coleoptera	28S	15	Insecta	Coleoptera	Insecta	Ptiliidae	gi|298578703|gb|GQ302253.1|	85.43	810	99	14	1	802	371	1169	0	824
4307|NZAC03011644|Plot-6_Pitfall-Trap|Subplot_B|Pitfall-Trap|Coleoptera	28S	20	Insecta	Coleoptera	Insecta	Coleoptera	gi|162072140|gb|EU164656.1|	86.75	815	86	18	1	807	371	1171	0	889
3823|NZAC03010842|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Orthoptera	28S	41	Insecta	Orthoptera	Insecta	Tettigoniidae	gi|540361489|gb|KF570948.1|	85.05	876	93	30	1	858	303	1158	0	861
3786|NZAC03010881|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Opiliones	28S	11	Arachnida	Opiliones	Arachnida	Opiliones	gi|667697028|gb|KJ871578.1|	98.06	823	11	3	1	818	366	1188	0	1426
